Match ID,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Team 1 Halftime Score,Team 2 Halftime Score,Halftime Lead,Side Picker,Side Picked,Team 1,Team 2
98,13,8,6,7,0,2,6,0,6,6,0,BBL Esports,Defense,Natus Vincere,BBL Esports
99,13,3,4,9,0,3,0,0,9,3,6,Team Heretics,Attack,FNATIC,Team Heretics
99,13,6,7,6,0,1,5,0,7,5,2,FNATIC,Attack,FNATIC,Team Heretics
100,13,5,8,5,0,1,4,0,8,4,4,Karmine Corp,Defense,Team Liquid,Karmine Corp
100,13,2,1,12,0,0,2,0,12,0,12,Team Liquid,Defense,Team Liquid,Karmine Corp
101,1,13,1,0,0,2,11,0,1,11,-10,KOI,Attack,KOI,GIANTX
101,11,13,4,7,0,5,8,0,4,8,-4,GIANTX,Defense,KOI,GIANTX
102,13,3,9,4,0,0,3,0,9,3,6,Team Heretics,Defense,Natus Vincere,Team Heretics
102,9,13,7,2,0,10,3,0,2,10,-8,Natus Vincere,Defense,Natus Vincere,Team Heretics
102,13,2,2,11,0,1,1,0,11,1,10,Natus Vincere,Defense,Natus Vincere,Team Heretics
103,6,13,5,1,0,6,7,0,5,7,-2,KOI,Attack,KOI,FUT Esports
103,9,13,6,3,0,7,6,0,6,6,0,FUT Esports,Defense,KOI,FUT Esports
104,6,13,5,1,0,11,2,0,1,11,-10,FNATIC,Attack,Team Liquid,FNATIC
104,6,13,0,6,0,6,7,0,6,6,0,Team Liquid,Defense,Team Liquid,FNATIC
105,13,10,6,7,0,5,5,0,7,5,2,GIANTX,Defense,GIANTX,BBL Esports
105,13,3,9,4,0,0,3,0,9,3,6,BBL Esports,Defense,GIANTX,BBL Esports
106,13,2,3,10,0,2,0,0,10,2,8,Team Vitality,Defense,Team Vitality,Karmine Corp
106,13,6,11,2,0,5,1,0,11,1,10,Karmine Corp,Defense,Team Vitality,Karmine Corp
107,8,13,6,2,0,10,3,0,2,10,-8,Team Heretics,Defense,Team Heretics,Team Liquid
107,15,17,5,7,3,5,7,5,5,7,-2,Team Liquid,Defense,Team Heretics,Team Liquid
108,5,13,2,3,0,3,10,0,2,10,-8,GIANTX,Defense,FUT Esports,GIANTX
108,11,13,7,4,0,8,5,0,4,8,-4,FUT Esports,Defense,FUT Esports,GIANTX
109,11,13,5,6,0,6,7,0,6,6,0,Karmine Corp,Defense,Karmine Corp,Natus Vincere
109,7,13,7,0,0,8,5,0,7,5,2,Natus Vincere,Defense,Karmine Corp,Natus Vincere
110,13,8,5,8,0,1,7,0,5,7,-2,Team Vitality,Defense,BBL Esports,Team Vitality
110,13,9,4,9,0,3,6,0,9,3,6,BBL Esports,Defense,BBL Esports,Team Vitality
111,13,11,6,7,0,5,6,0,7,5,2,GIANTX,Defense,GIANTX,Team Liquid
111,11,13,6,5,0,7,6,0,5,7,-2,Team Liquid,Attack,GIANTX,Team Liquid
